Epoch	a         	e          	i         	w          	Node       	M          	Name
(MJD)	(AU)      	           	(deg)     	(deg)      	(deg)      	(deg)      	
-----	----------	-----------	----------	-----------	-----------	-----------	-----------------
55400	2.6932634	0.31605150	6.27657	31.06329	321.51547	350.7064700	14790 Beletskij
55400	1.45815287	0.222828423	10.8289895	178.757943	304.3704776	55.6339111	433 Eros
55400	2.62733293	0.55281282	11.5612345	155.8052301	184.0605239	30.3857143	719 Albert
55400	2.47860043	0.566945363	9.353497	350.3140709	110.5588271	105.062467	887 Alinda
55400	2.66431285	0.53408694	26.6921669	132.5549409	215.5548468	268.0253554	1036 Ganymed
55400	1.92083314	0.434545772	11.8807481	26.5426529	171.3876463	144.2795458	1221 Amor
55400	1.07787319	0.826846826	22.8293083	31.3497303	88.0353022	261.9924747	1566 Icarus
55400	2.19632478	0.487718284	52.0981493	159.5166091	62.3084504	185.2342487	1580 Betulia
55400	1.24549075	0.335505813	13.3379338	276.7984626	337.2628332	202.3720409	1620 Geographos
55400	1.86337183	0.396804793	8.4479016	167.6538395	133.1900547	301.4061861	1627 Ivar
55400	1.36721799	0.435932011	9.3800979	127.0720822	274.3259917	231.1643545	1685 Toro
55400	1.47027217	0.559881717	6.3532839	285.8603063	35.7325481	258.0946159	1862 Apollo
55400	2.25879177	0.606724152	18.4006492	268.0229064	346.5505511	104.5219641	1863 Antinous
55400	1.46081032	0.614663859	22.1996385	325.5659984	6.6904933	11.8339224	1864 Daedalus
55400	1.07998797	0.467040887	16.0934246	325.2045679	212.9636455	82.0373882	1865 Cerberus
55400	1.89378804	0.538649477	41.1845455	293.0483088	63.5695629	182.5008032	1866 Sisyphus
55400	2.54184533	0.571425227	20.4169664	347.8728426	162.9904938	100.9098938	1915 Quetzalcoatl
55400	2.27388223	0.448955533	12.8768416	335.8522832	340.7405791	223.9756099	1916 Boreas
55400	2.15041675	0.504351754	23.9430512	194.3770622	188.3509017	209.2261558	1917 Cuyo
55400	1.43008914	0.255927282	8.7044558	338.2531842	246.383536	274.1864736	1943 Anteros
55400	1.70956517	0.364973838	26.8602798	115.3957647	246.6375706	262.2001337	1980 Tezcatlipoca
55400	1.77605515	0.649903608	39.8377573	267.7707608	356.9963092	253.7285177	1981 Midas
55400	2.64421931	0.530151263	11.0399039	191.2126796	201.0156689	302.3504993	2059 Baboquivari
55400	2.26489406	0.537398007	3.7734552	156.4882391	207.6214837	220.3964112	2061 Anza
55400	0.96654804	0.182604191	18.9330089	147.9578111	108.616661	346.8836162	2062 Aten
55400	1.07816065	0.349415946	9.4334022	55.2597986	33.1395764	343.6922965	2063 Bacchus
55400	0.83213413	0.436500245	15.7591218	356.0237458	170.856014	176.7271166	2100 Ra-Shalom
55400	1.87459136	0.763987125	1.3338209	43.1025023	349.9683052	33.6661248	2101 Adonis
55400	1.28999011	0.298956836	64.0035357	61.57326	94.3780793	180.3773852	2102 Tantalus
55400	1.59950728	0.503156724	23.0572456	290.8484437	191.2550092	189.0891427	2135 Aristaeus
55400	2.17582762	0.713611408	2.5138772	97.2689208	75.7634354	176.857494	2201 Oljato
55400	2.29032032	0.512052235	8.7415778	217.8941448	170.0217318	317.54387	2202 Pele
55400	2.16713731	0.833799741	11.7365039	208.5630639	28.2687149	12.6251479	2212 Hephaistos
55400	2.4035906	0.657522165	24.435809	145.8522356	169.4384051	34.4404317	2329 Orthos
55400	0.84422255	0.449747419	5.8548967	39.9929238	211.4938924	282.8478485	2340 Hathor
55400	2.10476146	0.413862133	5.2354016	42.6768797	287.5692236	280.8322481	2368 Beltrovata
55400	2.50569123	0.576247768	14.992647	35.7177013	168.4628665	72.3901997	2608 Seneca
55400	2.15101588	0.448420649	8.4200089	154.4522125	172.2471129	57.6706458	3102 Krok
55400	1.40486707	0.354377251	20.9321592	253.9488612	129.8237325	104.4675366	3103 Eger
55400	1.7685574	0.423013068	22.1647527	27.6933783	336.1475317	341.9086301	3122 Florence
55400	1.57437712	0.283922072	32.9706879	53.3338563	340.0445505	4.8531416	3199 Nefertiti
55400	1.27113569	0.889944902	22.1858544	322.018574	265.3878697	273.5254343	3200 Phaethon
55400	2.10134195	0.395700969	25.0397428	158.8698371	158.9214551	62.5377395	3271 Ul
55400	2.03225919	0.457617922	5.9341788	349.2404879	218.7076545	273.0415022	3288 Seleucus
55400	1.87856081	0.369537494	4.7739179	15.8884226	107.4198764	158.1065315	3352 McAuliffe
55400	2.46758246	0.743636173	21.4110906	62.127389	243.9831945	167.4950572	3360 Syrinx
55400	1.20963481	0.322886844	2.6847403	301.6876463	189.5351435	133.9258633	3361 Orpheus
55400	0.98942956	0.468617428	9.9185411	54.9952483	152.4872054	193.003595	3362 Khufu
55400	2.09256698	0.487085836	9.5066068	193.1969142	173.8775249	310.166505	3551 Verenia
55400	4.22335183	0.713771077	30.9694301	317.0976989	350.2671982	36.0454732	3552 Don Quixote
55400	1.64459416	0.320477406	36.7658174	288.8902025	232.5632677	19.4902788	3553 Mera
55400	0.97379098	0.280486706	23.3636649	359.3948054	358.6572076	293.0457382	3554 Amun
55400	2.19834557	0.541799465	13.5430953	204.2634547	82.177872	359.2425288	3671 Dionysus
55400	1.77433351	0.284022398	20.3719089	234.7381821	348.8331015	336.9349888	3691 Bede
55400	1.41350084	0.301880176	55.5589103	312.213784	147.9920874	198.9678169	3752 Camillo
55400	0.99772174	0.514919213	19.807946	43.770542	126.2766144	205.9544509	3753 Cruithne
55400	1.83494032	0.445285572	3.8680581	17.1441025	74.9878972	31.4907308	3757 (1982 XB)
55400	1.50486016	0.701972968	29.2343086	49.5984612	235.6031122	329.6494259	3838 Epona
55400	1.9271303	0.458753157	2.1813276	126.2363757	261.5126903	50.7562966	3908 Nyx
55400	1.54492078	0.316779304	10.7673125	86.7640584	229.9130655	166.3931982	3988 (1986 LA)
55400	2.63883156	0.62434182	2.7850221	91.2679233	270.546325	62.9882526	4015 Wilson-Harrington
55400	1.05951576	0.443920089	11.1705739	296.5955001	158.0133462	241.8109612	4034 (1986 PA)
55400	1.82025773	0.326268823	23.2460007	154.2975916	164.8976196	340.5671838	4055 Magellan
55400	2.53069532	0.629003314	0.4463819	278.6484809	124.3755246	152.7085271	4179 Toutatis
55400	1.9833111	0.635666983	6.7352467	235.5877867	295.5515238	140.8004676	4183 Cuno
55400	2.29821502	0.771447333	12.5673561	122.3042662	7.2673683	323.666323	4197 (1982 TA)
55400	1.64712841	0.468338667	40.7154921	278.9145051	169.2449903	256.4063578	4257 Ubasti
55400	1.83463644	0.679666512	11.8568005	15.6357194	108.145701	142.3629558	4341 Poseidon
55400	2.58122291	0.564458225	26.6527754	68.0720657	22.968154	337.4257131	4401 Aditi
55400	1.44260202	0.586598995	5.5162229	291.5967199	312.0000893	113.4731664	4450 Pan
55400	2.20391433	0.660319377	3.0336976	168.8441676	82.3054908	26.7990856	4486 Mithra
